カテゴリ	大分類	中分類	機能名	概要	備考	ヒアリング
AI・自動化機能	AI業務支援	日報分析	AI日報分析システム	成果・情報・感情を自動分析し経営層に重要ポイントを要約	2025年8月議事録要件	
AI・自動化機能	AI業務支援	課題管理	課題自動抽出AI	日報やSlackの会話から課題を自動検出し優先度付きでTodo化	2025年8月議事録要件	
AI・自動化機能	AI業務支援	経営支援	AIユースケ（経営アドバイザーAI）	経営理念に基づいた意思決定支援・経費管理提案	2025年8月議事録要件	
AI・自動化機能	AI業務支援	体験自動化	体験レッスン完全自動化フロー	ケア・DM・フォローアップの完全自動化	2025年8月議事録要件	
テナント機能	ゲーミフィケーション	スタッフ評価	スタッフ成果バッジシステム	業務達成でバッジ獲得・レベルアップ機能	2025年8月議事録要件	
テナント機能	ゲーミフィケーション	チーム競争	チーム対抗ダッシュボード	店舗間・チーム間での健全な競争促進	2025年8月議事録要件	
テナント機能	ゲーミフィケーション	インセンティブ	サプライズポイント制度	サプライズ行動を評価・ポイント化する仕組み	2025年8月議事録要件	
AI・自動化機能	人材最適化	性格分析	MBTI性格診断統合	スタッフ・講師の性格タイプ管理と相性分析	2025年8月議事録要件	
AI・自動化機能	人材最適化	チーム編成	AIチーム編成最適化	性格・スキル・経験を考慮した最適なチーム編成提案	2025年8月議事録要件	
AI・自動化機能	人材最適化	講師マッチング	講師マッチングAI	講師同士のコラボレーション最適化（エンを作る機能）	2025年8月議事録要件	
テナント機能	スタッフ・講師管理	人材育成	スタッフローテーション管理	3年周期での計画的な人材育成・配置転換支援	2025年8月議事録要件	
AI・自動化機能	シフト管理	自動生成	AIシフト自動作成	需要予測・スタッフ希望・スキルを考慮した完全自動シフト生成	2025年8月議事録要件	
テナント機能	スタッフ・講師管理	シフト管理	シフト交換マーケット	スタッフ間での自由なシフト交換プラットフォーム	2025年8月議事録要件	
AI・自動化機能	シフト管理	人員最適化	最適人員配置提案	時間帯別の必要人員をAIが予測・提案	2025年8月議事録要件	
テナント機能	施設・リソース	外部連携	ホットペッパー型予約サイト	外部向けスタジオレンタル予約プラットフォーム	2025年8月議事録要件	
テナント機能	施設・リソース	ネットワーク	外部スタジオネットワーク	他スタジオとの相互予約・連携機能	2025年8月議事録要件	
テナント機能	施設・リソース	評価管理	スタジオ評価・レビュー機能	利用者によるレビュー・評価システム	2025年8月議事録要件	
テナント機能	レッスン・イベント	イベント統合	イベント情報アグリゲーター	全国のダンスイベント情報を自動収集・表示	2025年8月議事録要件	
テナント機能	レッスン・イベント	イベント予約	イベント横断予約	複数イベントの一括予約・管理機能	2025年8月議事録要件	
テナント機能	レッスン・イベント	コラボレーション	イベントコラボレーション機能	他団体とのイベント共同開催支援	2025年8月議事録要件	
共通サービス	通知サービス	Slack連携	Slack完全統合	日報投稿・いいね・コメント機能のSlack連携	2025年8月議事録要件	
AI・自動化機能	AI・顧客体験向上	感情分析	感情分析アラート	スタッフの感情状態を分析しケアが必要な場合にアラート	2025年8月議事録要件	
テナント機能	マーケティング・CRM	社内SNS	社内SNS機能	スタッフ間の情報共有・コミュニケーション促進	2025年8月議事録要件	
AI・自動化機能	AI業務支援	議事録作成	自動議事録生成	会議音声からの自動文字起こし・要約生成	2025年8月議事録要件	
AI・自動化機能	AI・顧客体験向上	パーソナライズ	パーソナライズドジャーニー	各生徒に最適化された体験・成長パスの自動設計	2025年8月議事録要件	
AI・自動化機能	AI・顧客体験向上	サプライズ提案	自動サプライズ提案	生徒の記念日・達成時の自動サプライズ提案	2025年8月議事録要件	
テナント機能	マーケティング・CRM	コミュニティ	コミュニティ形成支援	生徒同士のつながりを促進する機能	2025年8月議事録要件	